name,occupation,count,birthtime,birthplace,location,point,chart
Hans_Frank,r_lawyers,0,"['1900', 5, '23', '20:30']","Karlsruhe, Germany","Karlsruhe, Baden-Württemberg, Deutschland","('49n0069', '8e4034')",<flatlib.chart.Chart object at 0x625343630>
Georges_Danton,r_lawyers,4,"['1759', 10, '26']","Arcis-sur-Aube, France","Arcis-sur-Aube, Troyes, Aube, Grand Est, France métropolitaine, 10700, France","('48n5362', '4e1421')",<flatlib.chart.Chart object at 0x6246ec358>
Pierre_Durand,r_lawyers,5,"['1955', 2, '16', '10:00']","Saint-Seurin-sur-l'Isle, France","Saint-Seurin-sur-l'Isle, Libourne, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33660, France","('45n0124', '0w0009')",<flatlib.chart.Chart object at 0x6280b0080>
John_F._Kennedy_Jr.,r_lawyers,6,"['1960', 11, '25', '00:22']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x624ff6160>
Amal_Clooney,r_lawyers,8,"['1978', 2, '3']","Beirut, Lebanon","بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","('33n8959', '35e4784')",<flatlib.chart.Chart object at 0x624ff6e80>
Thomas_More,r_lawyers,12,"['1478', 2, '16', '02:30']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624fe79b0>
Nicolaus_Copernicus,r_lawyers,13,"['1473', 2, '28', '17:13']","Torun, Poland","Toruń, województwo kujawsko-pomorskie, Polska","('53n0103', '18e6048')",<flatlib.chart.Chart object at 0x624fe70f0>
Sadiq_Khan,r_lawyers,14,"['1970', 10, '8']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624ff37b8>
Jean-Claude_Juncker,r_lawyers,15,"['1954', 12, '9']","Redange-sur-Attert, Luxembourg","Redange-sur-Attert, Canton Redange, Luxembourg","('49n778', '5e8911')",<flatlib.chart.Chart object at 0x624ff3240>
Walter_Buch,r_lawyers,16,"['1883', 10, '24', '14:30']","Bruchsal, Germany","Bruchsal, Verwaltungsgemeinschaft Bruchsal, Landkreis Karlsruhe, Baden-Württemberg, 76646, Deutschland","('49n1241', '8e598')",<flatlib.chart.Chart object at 0x624ff3e80>
Tobias_Asser,r_lawyers,17,"['1838', 4, '28', '06:30']","Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland","('52n3728', '4e8936')",<flatlib.chart.Chart object at 0x62621f2e8>
Rui_Barbosa,r_lawyers,19,"['1849', 11, '5', '12:00']","Salvador, Brazil","Salvador, Microrregião de Salvador, Região Metropolitana de Salvador, Mesorregião do Recôncavo baiano, Bahia, Região Nordeste, Brasil","('12s9822', '38w4813')",<flatlib.chart.Chart object at 0x62621f080>
Melvin_Belli,r_lawyers,20,"['1907', 7, '29', '08:00']","Sonora, California, United States","Sonora, Tuolumne County, California, 95364, United States of America","('37n9841', '120w3821')",<flatlib.chart.Chart object at 0x6271d5a58>
Karl_Bendetsen,r_lawyers,21,"['1907', 10, '11', '05:30']","Aberdeen, Washington, United States","Aberdeen, Grays Harbor County, Washington, 985370525, United States of America","('46n9754', '123w8157')",<flatlib.chart.Chart object at 0x6268cc6d8>
Rose_Bird,r_lawyers,22,"['1936', 11, '2', '17:15']","Tucson, Arizona, United States","Tucson, Pima County, Arizona, United States of America","('32n2229', '110w9748')",<flatlib.chart.Chart object at 0x6268cceb8>
